Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Arnaud Nordin,FRA,Mainz 05,de Bundesliga,26.0,0,0,1,0,36,53,4
Brooke Norton-Cuffy,ENG,Genoa,Serie A,21.0,0,1,1,0,31,31,3
Tijjani Noslin,NED,Lazio,Serie A,25.0,1,1,0,0,76,43,3
Hugo Novoa,ESP,Alavés,La Liga,22.0,0,1,1,0,33,0,0
Plamedi Nsingi,,Nantes,Ligue 1,24.0,0,1,0,0,110,62,1
Randy Nteka,ANG,Rayo Vallecano,La Liga,27.0,1,0,0,0,2,71,0
Ernest Nuamah,GHA,Lyon,Ligue 1,21.0,1,1,0,0,41,52,1
Alexander Nübel,GER,Stuttgart,de Bundesliga,28.0,0,0,0,1,40,82,4
Matheus Nunes,POR,Manchester City,Premier League,26.0,0,1,1,0,86,55,2
Darwin Núñez,URU,Liverpool,Premier League,25.0,1,0,0,0,103,51,2
Unai Núñez,ESP,Athletic Club,La Liga,28.0,0,0,1,0,33,5,0
Antonio Nusa,NOR,RB Leipzig,de Bundesliga,19.0,0,1,1,0,79,70,4
Ethan Nwaneri,ENG,Arsenal,Premier League,17.0,1,1,0,0,31,2,2
Ørjan Nyland,NOR,Sevilla,La Liga,34.0,0,0,0,1,79,78,0
Allan Nyom,CMR,Getafe,La Liga,36.0,0,1,1,0,17,32,0
Rabby Nzingoula,CGO,Montpellier,Ligue 1,19.0,0,1,0,0,14,60,1
M'Bala Nzola,ANG,Lens,Ligue 1,28.0,1,0,0,0,2,48,1
Marwann Nzuzi,FRA,Saint-Étienne,Ligue 1,20.0,0,0,1,0,36,77,1
Christian Nørgaard,DEN,Brentford,Premier League,31.0,0,1,0,0,27,15,2
Jake O'Brien,IRL,Everton,Premier League,23.0,0,0,1,0,50,27,2
Matt O'Riley,DEN,Brighton,Premier League,24.0,0,1,0,0,27,17,2
Dara O'Shea,IRL,Ipswich Town,Premier League,26.0,0,0,1,0,50,40,2
Adam Obert,SVK,Cagliari,Serie A,22.0,0,0,1,0,96,18,3
Chidozie Obi-Martin,DEN,Manchester Utd,Premier League,17.0,1,0,0,0,27,56,2
Jan Oblak,SVN,Atlético Madrid,La Liga,32.0,0,0,0,1,97,6,0
Lucas Ocampos,ARG,Sevilla,La Liga,30.0,1,0,0,0,3,78,0
Jens Odgaard,DEN,Bologna,Serie A,25.0,1,1,0,0,27,13,3
Wilson Odobert,FRA,Tottenham,Premier League,20.0,1,0,0,0,36,84,2
Álvaro Odriozola,ESP,Real Sociedad,La Liga,29.0,0,0,1,0,33,73,0
Tim Oermann,GER,Bochum,de Bundesliga,21.0,0,0,1,0,40,12,4
Chiedozie Ogbene,IRL,Ipswich Town,Premier League,27.0,1,0,0,0,50,40,2
Ifechukwu Ogbus,SUI,Freiburg,de Bundesliga,19.0,0,0,1,0,94,29,4
Thiago Ojeda,ARG,Villarreal,La Liga,22.0,0,1,0,0,3,91,0
Hamzat Ojediran,NGA,Lens,Ligue 1,21.0,1,1,0,0,77,48,1
Noah Okafor,SUI,Milan,Serie A,24.0,1,0,0,0,94,58,3
Caleb Okoli,ITA,Leicester City,Premier League,23.0,0,0,1,0,55,47,2
Yllan Okou,FRA,Hellas Verona,Serie A,22.0,0,0,1,0,36,36,3
Maduka Okoye,NGA,Udinese,Serie A,25.0,0,0,0,1,77,86,3
Joseph Okumu,KEN,Reims,Ligue 1,27.0,0,0,1,0,59,74,1
Kazeem Olaigbe,BEL,Rennes,Ligue 1,22.0,1,1,0,0,8,75,1
Olasagasti,ESP,Real Sociedad,La Liga,24.0,0,1,0,0,33,73,0
Ben Old,NZL,Saint-Étienne,Ligue 1,22.0,1,1,0,0,80,77,1
Finn Ole Becker,GER,Hoffenheim,de Bundesliga,24.0,0,1,0,0,40,37,4
Michael Olise,FRA,Bayern Munich,de Bundesliga,23.0,1,1,0,0,36,10,4
Brian Oliván,ESP,Espanyol,La Liga,30.0,0,0,1,0,33,26,0
Lucas Oliveira Rosa,BRA,Valladolid,La Liga,24.0,0,0,1,0,12,89,0
Mathías Olivera,URU,Napoli,Serie A,27.0,0,0,1,0,103,63,3
Dani Olmo,ESP,Barcelona,La Liga,26.0,1,1,0,0,33,9,0
Robin Olsen,SWE,Aston Villa,Premier League,35.0,0,0,0,1,98,3,2
Warmed Omari,COM,Lyon,Ligue 1,24.0,0,0,1,0,20,52,1
Becir Omeragic,SUI,Montpellier,Ligue 1,23.0,0,1,1,0,94,60,1
Jonas Omlin,SUI,Gladbach,de Bundesliga,31.0,0,0,0,1,94,34,4
Andrew Omobamidele,IRL,Strasbourg,Ligue 1,22.0,0,0,1,0,50,81,1
